"Apparel",10021,0
"Apparel Accessories",10178,10021
"Bags & Packs",10937,10021
"Backpacks & Utility Bags",12262,10021
"Briefcases",12264,10021
"Handbags & Purses",12263,10021
"Laptop & Computer Bags",12265,10021
"Belts & Suspenders",10935,10021
"Billfolds & Wallets",10938,10021
"Eyewear",10936,10021
"Reading Glasses",12260,10021
"Sunglasses",12261,10021
"Gloves & Mittens",10939,10021
"Hair Accessories",10942,10021
"Headwear",10941,10021
"Hats",12266,10021
"Headscarves & Bandanas",12267,10021
"Key Chains & Key Rings",13701,10021
"Parasols & Personal Sun Umbrellas",13409,10021
"Scarves & Shawls",10943,10021
"Ties",10940,10021
"Clothing",10176,10021
"Children's Clothing",13780,10021
"Baby & Toddler Clothing",11019,10021
"Baby & Toddler Shoes",12292,10021
"Christening Gowns & Suits",12293,10021
"Newborn Clothing",12288,10021
"Costumes & Costume Rental",10924,10021
"Culturally-Specific Clothing",10919,10021
"Custom Clothing",10906,10021
"Dancewear",10916,10021
"Dresses",10915,10021
"Formal Wear",10920,10021
"Bridal Wear",12250,10021
"Formal Wear Rentals",10905,10021
"Prom Dresses",12252,10021
"Tuxedos & Tuxedo Accessories",12251,10021
"Men's Clothing",13778,10021
"Outerwear",10917,10021
"Coats",13356,10021
"Slickers & Rainwear",13357,10021
"Pants, Jeans & Trousers",12241,10021
"Petite Clothing",10912,10021
"Plus Size Clothing",10923,10021
"Pullover Sweaters & Cardigans",12237,10021
"Shirts, Tops & Blouses",12240,10021
"Dress Shirts",13117,10021
"Jerseys & Knit Shirts",13116,10021
"T-Shirts",13315,10021
"Polo Shirts",13118,10021
"Shorts",12242,10021
"Skirts",12244,10021
"Sleepwear",10925,10021
"Socks & Hosiery",10921,10021
"Sport Coats & Jackets",12243,10021
"Suits & Business Attire",10914,10021
"Sweatshirts & Hoodies",12238,10021
"Swimwear",11917,10021
"Underwear",10913,10021
"Boxers & Briefs",12246,10021
"Lingerie & Intimate Apparel",12245,10021
"Body Shapers, Girdles & Bustiers",13120,10021
"Bras",13123,10021
"Slips",13121,10021
"Uniforms",10926,10021
"School Uniforms",12254,10021
"Work Uniforms",12253,10021
"Hospitality Service Uniforms",13124,10021
"Public Safety & Security Uniforms",13125,10021
"Utility Clothing",10918,10021
"Vests",12239,10021
"Women's Clothing",13779,10021
"Maternity Wear",10922,10021
"Dry Cleaning & Alterations",10907,10021
"Footwear",10177,10021
"Athletic Shoes",10619,10021
"Cleats",11895,10021
"Cross-Training Shoes",11897,10021
"Running Shoes",11898,10021
"Skate Shoes",11899,10021
"Tennis Shoes",11896,10021
"Boots",10931,10021
"Cowboy Boots",12259,10021
"Fashion & Dress Boots",12258,10021
"Work Boots",12257,10021
"Casual Shoes",10930,10021
"Clogs",12256,10021
"Flats",12255,10021
"Dress Shoes",10932,10021
"Footwear Accessories",10172,10021
"Moccasins",10933,10021
"Roller Shoes",10929,10021
"Sandals",10927,10021
"Shoe Repair & Footwear Services",10173,10021
"Slippers",10928,10021
"Special Width & Orthopedic Shoes",10934,10021
"Jewelry",10171,10021
"Anklets",10902,10021
"Antique Jewelry",10721,10021
"Bracelets",10894,10021
"Brooches & Pins",10904,10021
"Cufflinks",10896,10021
"Earrings",10901,10021
"Jewelry Cleaning & Repair",10910,10021
"Necklaces",10903,10021
"Pearls & Pearl Jewelry",10897,10021
"Precious & Semi-Precious Gems & Gemstone Jewelry",10893,10021
"Birthstone Jewelry",12234,10021
"Diamond Jewelry",12233,10021
"Precious Metal Jewelry",10895,10021
"Gold Jewelry",12235,10021
"Gold Watches",13115,10021
"Silver Jewelry",12236,10021
"Rings",10892,10021
"Engagement Rings",12231,10021
"Wedding Rings",12232,10021
"Watches & Watch Accessories",10899,10021
"Rain Gear",13355,10021
"Rain Umbrellas",13354,10021
"Arts & Entertainment",10013,0
"Arts & Entertainment Awards",13530,10013
"Cartoons",13760,10013
"Comics & Graphic Novels",10723,10013
"Comic Strips",13443,10013
"Independent & Alternative Comic Books",12001,10013
"Manga",13570,10013
"Superhero Comic Books",12002,10013
"Entertainment Industry",10105,10013
"Film & TV Industry",13536,10013
"TV Broadcasting",10566,10013
"Digital TV",11860,10013
"Internet TV",11859,10013
"TV Shows & Programs",10557,10013
"Music & Recording Industry",13574,10013
"Talent Promotion",10565,10013
"Entertainment Media Retailers",13670,10013
"Event Entertainment",10104,10013
"Bachelor & Bachelorette Parties",10563,10013
"Children's Parties",10564,10013
"Fireworks",13751,10013
"Wedding Entertainment",13492,10013
"Events, Shows & Cultural Attractions",10111,10013
"Art Fairs & Festivals",13499,10013
"Event & Show Guides & Listings",10606,10013
"Expo Events & Shows",10602,10013
"Car & Vehicle Shows",11881,10013
"Flower, Garden & Home Shows",11880,10013
"Film Festivals",13498,10013
"Food & Beverage Festivals",13500,10013
"Live Comedy",13852,10013
"Special Exhibits",11885,10013
"Theater & Theater Tickets",11886,10013
"Ticket Sales & Exchanges",10603,10013
"Fun & Trivia",13425,10013
"Fun Tests & Silly Surveys",13489,10013
"Humor & Jokes",10106,10013
"Movies & Films",13417,10013
"Action & Adventure Films",13515,10013
"Martial Arts Films",13516,10013
